downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0007,-90,0.0007,0.97333,10.776
16000,0.0007,-90,0.0008,0.97333,10.696
16000,0.0007,-90,0.0009,0.97333,10.739
16000,0.0007,-90,0.001,0.97333,10.749
16000,0.0007,-80,0.0001,0.88889,10.703
16000,0.0007,-80,0.0002,0.88889,10.924
16000,0.0007,-80,0.0003,0.88889,10.78
16000,0.0007,-80,0.0004,0.88889,10.803
16000,0.0007,-80,0.0005,0.88889,10.65
16000,0.0007,-80,0.0006,0.88889,10.739
16000,0.0007,-80,0.0007,0.94667,10.757
16000,0.0007,-80,0.0008,0.94667,10.765
16000,0.0007,-80,0.0009,0.94667,10.78
16000,0.0007,-80,0.001,0.94667,10.585
16000,0.0008,-120,0.0001,0.88889,10.531
16000,0.0008,-120,0.0002,0.88889,10.691
16000,0.0008,-120,0.0003,0.88889,10.598
16000,0.0008,-120,0.0004,0.88889,10.615
16000,0.0008,-120,0.0005,0.88889,10.531
16000,0.0008,-120,0.0006,0.88889,10.612
16000,0.0008,-120,0.0007,0.88889,10.671
16000,0.0008,-120,0.0008,0.98667,10.519
16000,0.0008,-120,0.0009,0.98667,10.601
16000,0.0008,-120,0.001,0.98667,10.737
16000,0.0008,-110,0.0001,0.88889,11.04
16000,0.0008,-110,0.0002,0.88889,11.166
16000,0.0008,-110,0.0003,0.88889,11.003
16000,0.0008,-110,0.0004,0.88889,11.075
16000,0.0008,-110,0.0005,0.88889,10.95
16000,0.0008,-110,0.0006,0.88889,10.933
16000,0.0008,-110,0.0007,0.88889,10.936
16000,0.0008,-110,0.0008,0.98556,11.084
16000,0.0008,-110,0.0009,0.98556,10.914
16000,0.0008,-110,0.001,0.98556,10.981
16000,0.0008,-100,0.0001,0.88889,10.988
16000,0.0008,-100,0.0002,0.88889,10.934
16000,0.0008,-100,0.0003,0.88889,10.929
16000,0.0008,-100,0.0004,0.88889,10.951
16000,0.0008,-100,0.0005,0.88889,10.886
16000,0.0008,-100,0.0006,0.88889,10.994
16000,0.0008,-100,0.0007,0.88889,10.964
16000,0.0008,-100,0.0008,0.97444,10.969
16000,0.0008,-100,0.0009,0.97444,10.861
16000,0.0008,-100,0.001,0.97444,10.972
16000,0.0008,-90,0.0001,0.88889,11.018
16000,0.0008,-90,0.0002,0.88889,11.134
16000,0.0008,-90,0.0003,0.88889,10.992
16000,0.0008,-90,0.0004,0.88889,10.679
16000,0.0008,-90,0.0005,0.88889,10.544
16000,0.0008,-90,0.0006,0.88889,10.725
16000,0.0008,-90,0.0007,0.88889,10.68
16000,0.0008,-90,0.0008,0.95444,10.613
16000,0.0008,-90,0.0009,0.95444,10.842
16000,0.0008,-90,0.001,0.95444,11.013
16000,0.0008,-80,0.0001,0.88889,10.854
16000,0.0008,-80,0.0002,0.88889,10.884
16000,0.0008,-80,0.0003,0.88889,10.955
16000,0.0008,-80,0.0004,0.88889,10.983
16000,0.0008,-80,0.0005,0.88889,10.903
16000,0.0008,-80,0.0006,0.88889,10.986
16000,0.0008,-80,0.0007,0.88889,11.001
16000,0.0008,-80,0.0008,0.91778,10.963
16000,0.0008,-80,0.0009,0.91778,11.038
16000,0.0008,-80,0.001,0.91778,10.917
16000,0.0009,-120,0.0001,0.88889,10.76
16000,0.0009,-120,0.0002,0.88889,10.634
16000,0.0009,-120,0.0003,0.88889,10.885
16000,0.0009,-120,0.0004,0.88889,10.829
16000,0.0009,-120,0.0005,0.88889,10.841
16000,0.0009,-120,0.0006,0.88889,10.716
16000,0.0009,-120,0.0007,0.88889,10.756
16000,0.0009,-120,0.0008,0.88889,10.759
16000,0.0009,-120,0.0009,0.98778,10.811
16000,0.0009,-120,0.001,0.98778,10.814
16000,0.0009,-110,0.0001,0.88889,10.87
16000,0.0009,-110,0.0002,0.88889,10.801
16000,0.0009,-110,0.0003,0.88889,10.896
16000,0.0009,-110,0.0004,0.88889,10.883
16000,0.0009,-110,0.0005,0.88889,10.869
16000,0.0009,-110,0.0006,0.88889,10.789
16000,0.0009,-110,0.0007,0.88889,10.504
16000,0.0009,-110,0.0008,0.88889,10.6
16000,0.0009,-110,0.0009,0.98222,10.542
16000,0.0009,-110,0.001,0.98222,10.576
16000,0.0009,-100,0.0001,0.88889,10.64
16000,0.0009,-100,0.0002,0.88889,10.577
16000,0.0009,-100,0.0003,0.88889,10.501
16000,0.0009,-100,0.0004,0.88889,10.564
16000,0.0009,-100,0.0005,0.88889,10.581
16000,0.0009,-100,0.0006,0.88889,10.589
16000,0.0009,-100,0.0007,0.88889,10.644
16000,0.0009,-100,0.0008,0.88889,10.486
16000,0.0009,-100,0.0009,0.97222,10.595
16000,0.0009,-100,0.001,0.97222,10.489
16000,0.0009,-90,0.0001,0.88889,10.506
16000,0.0009,-90,0.0002,0.88889,10.489
16000,0.0009,-90,0.0003,0.88889,10.419
16000,0.0009,-90,0.0004,0.88889,10.486
16000,0.0009,-90,0.0005,0.88889,10.504
16000,0.0009,-90,0.0006,0.88889,10.458
16000,0.0009,-90,0.0007,0.88889,10.5
16000,0.0009,-90,0.0008,0.88889,10.415
16000,0.0009,-90,0.0009,0.95,10.513
16000,0.0009,-90,0.001,0.95,10.483
16000,0.0009,-80,0.0001,0.88889,10.404
16000,0.0009,-80,0.0002,0.88889,10.539
16000,0.0009,-80,0.0003,0.88889,10.493
16000,0.0009,-80,0.0004,0.88889,10.486
16000,0.0009,-80,0.0005,0.88889,10.476
16000,0.0009,-80,0.0006,0.88889,10.548
16000,0.0009,-80,0.0007,0.88889,10.564
16000,0.0009,-80,0.0008,0.88889,10.498
16000,0.0009,-80,0.0009,0.90556,10.499
16000,0.0009,-80,0.001,0.90556,10.48
16000,0.001,-120,0.0001,0.88889,9.7543
16000,0.001,-120,0.0002,0.88889,10.038
16000,0.001,-120,0.0003,0.88889,9.9905
16000,0.001,-120,0.0004,0.88889,10.017
16000,0.001,-120,0.0005,0.88889,9.892
16000,0.001,-120,0.0006,0.88889,10.003
16000,0.001,-120,0.0007,0.88889,10.184
16000,0.001,-120,0.0008,0.88889,9.9792
16000,0.001,-120,0.0009,0.88889,9.8866
16000,0.001,-120,0.001,0.98667,9.9681
16000,0.001,-110,0.0001,0.88889,10.01
16000,0.001,-110,0.0002,0.88889,10.15
16000,0.001,-110,0.0003,0.88889,10.056
16000,0.001,-110,0.0004,0.88889,9.9798
16000,0.001,-110,0.0005,0.88889,9.7365
16000,0.001,-110,0.0006,0.88889,9.6839
16000,0.001,-110,0.0007,0.88889,9.6393
16000,0.001,-110,0.0008,0.88889,9.5315
16000,0.001,-110,0.0009,0.88889,9.689
16000,0.001,-110,0.001,0.98111,9.7611
16000,0.001,-100,0.0001,0.88889,9.8896
16000,0.001,-100,0.0002,0.88889,9.9801
16000,0.001,-100,0.0003,0.88889,9.961
